Date,Category,Properties,Amount
01/04/2021,Fee,DelMar,205.00
01/14/2021,Appliance Supplies,Alva,22.00
01/17/2021,Utilities,Alva,166.62
01/18/2021,HOA,Alva,324.00
01/18/2021,HOA,Alta,316.00
01/18/2021,HOA,TorreyHighland,298.00
01/18/2021,HOA,Campo,298.00
01/18/2021,HOA,Poway,298.00
01/18/2021,HOA,SpringBrook,363.00
01/18/2021,HOA,SabreSpring,363.00
01/18/2021,HOA,Heatherton,390.00
01/18/2021,HOA,DelMar,295.00
01/19/2021,Insurance,Campo,276.00
01/19/2021,Insurance,Poway,276.00
01/19/2021,Insurance,Alva,241.00
01/19/2021,Insurance,SabreSpring,201.00
01/19/2021,Insurance,Heatherton,274.00
01/19/2021,Insurance,TorreyHighland,276.00
01/26/2021,Permits & License,SpringBrook,59.00
01/26/2021,Permits & License,SabreSpring,59.00
01/26/2021,Permits & License,Heatherton,59.00
01/26/2021,Permits & License,Alta,59.00
01/31/2021,Permits & License,TorreyHighland,59.00
01/31/2021,Permits & License,Campo,59.00
01/31/2021,Permits & License,Poway,59.00
02/03/2021,Fee,DelMar,205.00
02/08/2021,Legal & Prof. Fees,Alva,800.00
02/10/2021,Utilities,TorreyHighland,143.99
02/10/2021,Utilities,Campo,56.71
02/10/2021,Utilities,Poway,60.95
02/10/2021,Cleaning & Maintenance,SpringBrook,595.00
02/15/2021,Permits & License,DelMar,59.00
02/15/2021,Insurance,DelMar,687.86
02/19/2021,HOA,Alva,324.00
02/19/2021,HOA,Alta,316.00
02/19/2021,HOA,TorreyHighland,298.00
02/19/2021,HOA,Campo,298.00
02/19/2021,HOA,Poway,298.00
02/19/2021,HOA,SpringBrook,363.00
02/19/2021,HOA,SabreSpring,363.00
02/19/2021,HOA,Heatherton,390.00
02/19/2021,HOA,DelMar,295.00
02/22/2021,Appliance Supplies,TorreyHighland,69.69
02/24/2021,Utilities,Alva,166.62
02/24/2021,Appliance Supplies,Alta,4.30
02/24/2021,Repairs - Plumbing,Campo,155.00
03/03/2021,Utilities,TorreyHighland,100.16
03/03/2021,Utilities,Campo,70.23
03/03/2021,Utilities,Poway,79.34
03/04/2021,Fee,DelMar,205.00
03/11/2021,Utilities,DelMar,55.21
03/19/2021,HOA,Heatherton,144.00
03/19/2021,HOA,DelMar,120.00
03/19/2021,HOA,Alva,324.00
03/19/2021,HOA,Alta,316.00
03/19/2021,HOA,TorreyHighland,298.00
03/19/2021,HOA,Campo,298.00
03/19/2021,HOA,Poway,298.00
03/19/2021,HOA,SpringBrook,363.00
03/19/2021,HOA,SabreSpring,363.00
03/19/2021,HOA,Heatherton,390.00
03/19/2021,HOA,DelMar,295.00
03/24/2021,Utilities,Alva,166.62
03/24/2021,Legal & Prof. Fees,Alva,20.00
04/05/2021,Fee,DelMar,205.00
04/06/2021,Appliance Supplies,TorreyHighland,327.84
04/09/2021,Utilities,TorreyHighland,137.34
04/09/2021,Utilities,Campo,51.89
04/09/2021,Utilities,Poway,64.26
04/10/2021,Property Taxes,Alva,1716.10
04/10/2021,Property Taxes,Alta,1523.72
04/10/2021,Property Taxes,TorreyHighland,3026.80
04/10/2021,Property Taxes,Campo,3418.01
04/10/2021,Property Taxes,Poway,3408.55
04/10/2021,Property Taxes,SpringBrook,1754.37
04/10/2021,Property Taxes,SabreSpring,1616.03
04/10/2021,Property Taxes,Heatherton,1647.83
04/10/2021,Property Taxes,DelMar,1584.48
04/21/2021,HOA,Alva,324.00
04/21/2021,HOA,Alta,316.00
04/21/2021,HOA,TorreyHighland,298.00
04/21/2021,HOA,Campo,298.00
04/21/2021,HOA,Poway,298.00
04/21/2021,HOA,SpringBrook,363.00
